Date,Year,Month,Quarter,Site_ID,Lab_ID,Region,Site_Type,Adoption_Date,Post_Adoption,Months_Since_Adoption,Assay_Menu,Communication_Intensity,Cr_Volume,Cys_Volume,CrCys_Volume,Total_Test_Volume,Cr_Price,Cys_Price,CrCys_Price,Cr_Revenue,Cys_Revenue,CrCys_Revenue,Total_Revenue,Lives_Covered,Total_Patients,Reclassified_Patients,Reclassification_Rate,CKD_Patients,G1_Patients,G2_Patients,G3a_Patients,G3b_Patients,G4_Patients,G5_Patients,CKD_Prevalence,Nephrology_Referrals,Dialysis_Initiations,Trial_Enrollment,Eligibility_Shift_Pct,Renally_Adjusted_Rx,Nephroprotective_Rx
2021-01-01,2021,1,Q1,SITE0001,LAB035,Midwest,Clinic,2022-07-01,0,,CrCys,2,510,106,0,616,8.47,22.58,30.28,4318.15,2393.26,0.0,6711.41,48125,7218,0,0.0,2670,2526,2021,1587,577,360,144,0.37,400,32,0,0.0,1068,667
2021-01-01,2021,1,Q1,SITE0002,LAB016,Southeast,Clinic,2024-10-01,0,,Cys,2,513,97,0,610,8.31,26.06,34.88,4261.86,2527.78,0.0,6789.64,33538,5030,0,0.0,1861,1760,1408,1106,402,251,100,0.37,279,22,0,0.0,744,465
2021-01-01,2021,1,Q1,SITE0003,LAB041,West,Reference Lab,2024-06-01,0,,CrCys,2,523,91,0,614,8.79,24.59,32.17,4596.4,2238.05,0.0,6834.45,37049,5557,0,0.0,2056,1944,1555,1222,444,277,111,0.37,308,24,0,0.0,822,514
2021-01-01,2021,1,Q1,SITE0004,LAB036,Southwest,Clinic,2022-02-01,0,,CrCys,4,530,92,0,622,8.42,24.02,31.13,4463.75,2210.28,0.0,6674.03,42131,6319,0,0.0,2338,2211,1769,1390,505,315,126,0.37,350,28,0,0.0,935,584
2021-01-01,2021,1,Q1,SITE0005,LAB033,West,Hospital,2021-08-01,0,,Cr,1,499,0,0,499,8.64,29.15,33.74,4313.8,0.0,0.0,4313.8,47944,7191,0,0.0,2660,2516,2013,1582,575,359,143,0.37,399,31,0,0.0,1064,665
2021-01-01,2021,1,Q1,SITE0006,LAB004,Southwest,Hospital,2024-05-01,0,,CrCys,1,548,101,0,649,8.34,27.1,30.31,4568.67,2737.42,0.0,7306.09,13427,2014,0,0.0,745,704,563,443,161,100,40,0.37,111,8,0,0.0,298,186
2021-01-01,2021,1,Q1,SITE0007,LAB033,West,Clinic,2021-08-01,0,,Cr,1,506,0,0,506,8.91,20.58,32.47,4510.84,0.0,0.0,4510.84,46348,6952,0,0.0,2572,2433,1946,1529,556,347,139,0.37,385,30,0,0.0,1028,643
2021-01-01,2021,1,Q1,SITE0008,LAB014,Southeast,Hospital,2022-11-01,0,,Cr,1,533,0,0,533,8.89,25.68,31.17,4735.94,0.0,0.0,4735.94,29285,4392,0,0.0,1625,1537,1229,966,351,219,87,0.37,243,19,0,0.0,650,406
2021-01-01,2021,1,Q1,SITE0009,LAB021,Southeast,Clinic,,0,,Cr,1,527,0,0,527,8.26,25.81,29.82,4351.07,0.0,0.0,4351.07,42626,6393,0,0.0,2365,2237,1790,1406,511,319,127,0.37,354,28,0,0.0,946,591
2021-01-01,2021,1,Q1,SITE0010,LAB048,Southwest,Reference Lab,2023-01-01,0,,Cr,1,542,0,0,542,8.09,28.02,32.8,4385.59,0.0,0.0,4385.59,47808,7171,0,0.0,2653,2509,2007,1577,573,358,143,0.37,397,31,0,0.0,1061,663
2021-01-01,2021,1,Q1,SITE0011,LAB020,West,Clinic,2023-05-01,0,,CrCys,4,556,93,0,649,9.14,24.11,33.93,5083.78,2242.3,0.0,7326.08,27928,4189,0,0.0,1549,1466,1172,921,335,209,83,0.37,232,18,0,0.0,619,387
2021-01-01,2021,1,Q1,SITE0012,LAB008,Midwest,Hospital,2022-11-01,0,,CrCys,5,534,106,0,640,8.99,22.88,30.97,4798.94,2425.62,0.0,7224.56,24198,3629,0,0.0,1342,1270,1016,798,290,181,72,0.37,201,16,6,0.0,536,335
2021-01-01,2021,1,Q1,SITE0013,LAB007,Midwest,Clinic,2021-09-01,0,,CrCys,4,532,123,0,655,9.39,26.18,32.5,4996.06,3220.21,0.0,8216.26,24758,3713,0,0.0,1373,1299,1039,816,297,185,74,0.37,205,16,0,0.0,549,343
2021-01-01,2021,1,Q1,SITE0014,LAB003,Midwest,Clinic,,0,,CrCys,1,532,123,0,655,7.93,30.08,33.05,4218.83,3699.52,0.0,7918.34,20254,3038,0,0.0,1124,1063,850,668,243,151,60,0.37,168,13,0,0.0,449,281
2021-01-01,2021,1,Q1,SITE0015,LAB017,West,Clinic,2021-06-01,0,,CrCys,4,518,102,0,620,9.04,23.83,31.54,4680.39,2431.11,0.0,7111.5,49238,7385,0,0.0,2732,2584,2067,1624,590,369,147,0.37,409,32,0,0.0,1092,683
2021-01-01,2021,1,Q1,SITE0016,LAB033,West,Reference Lab,2021-08-01,0,,Cr,1,515,0,0,515,8.81,21.99,31.48,4539.25,0.0,0.0,4539.25,6252,937,0,0.0,346,327,262,206,74,46,18,0.37,51,4,0,0.0,138,86
