Date,Site_ID,Site_Name,Lab_ID,Region,State,Counties,Site_Type,Adoption_Date,Post_Adoption,Months_Since_Adoption,Assay_Menu,Communication_Intensity,Cr_Volume,Cys_Volume,CrCys_Volume,Total_Test_Volume,Cr_Price,Cys_Price,CrCys_Price,Cr_Revenue,Cys_Revenue,CrCys_Revenue,Total_Revenue,Lives_Covered,Total_Patients,Black_Patients,NonBlack_Patients,Reclassified_Patients,Reclassification_Rate,Black_Population_Pct,Hispanic_Population_Pct,White_Population_Pct,Asian_Population_Pct,CKD_Patients,G1_Patients,G2_Patients,G3a_Patients,G3b_Patients,G4_Patients,G5_Patients,CKD_Prevalence,Baseline_CKD_Prevalence,Nephrology_Referrals,Dialysis_Initiations,Trial_Enrollment,Eligibility_Shift_Pct,Renally_Adjusted_Rx,Nephroprotective_Rx,Avg_Creatinine_NonBlack,Avg_Creatinine_Black,eGFR_2021_RaceFree,eGFR_2009_Black,eGFR_2009_NonBlack,Referral_Prob_2021,Referral_Prob_2009_Black,Referral_Prob_2009_NonBlack,Eligible_Transplant_2021,Eligible_Transplant_2009_Black,Eligible_Transplant_2009_NonBlack,Waitlist_Delay_Months_2021,Waitlist_Delay_Months_2009_Black,Waitlist_Delay_Months_2009_NonBlack,Referral_Disparity_Black,Transplant_Delay_Disparity,Eligibility_Gap_Black
2021-01-01,MI_SITE0001,Detroit Metro - Site 1,MI_LAB001,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Clinic,2022-03-01,0,,CrCys,3,532,109,0,641,8.95,22.0,34.13,4763.28,2398.41,0.0,7161.69,116056,17408,3576,13832,0,0.0,0.2054,0.0608,0.6376,0.0576,2717,6092,4874,1630,679,326,81,0.1561,0.1561,407,0,0,0.0,1086,679,0.94,1.05,43.5,50.4,43.5,0.0009,0.0001,0.0009,0,0,0,11.7,15.2,11.7,-0.0008,3.5,0
2021-01-01,MI_SITE0002,Detroit Metro - Site 2,MI_LAB002,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Hospital,2022-07-01,0,,Cys,1,512,95,0,607,8.13,25.59,29.67,4161.43,2430.91,0.0,6592.33,114258,17138,4502,12636,0,0.0,0.2627,0.0656,0.6675,0.0756,2461,5998,4798,1476,615,295,73,0.1436,0.1436,369,0,0,0.0,984,615,1.11,1.24,83.4,96.6,83.4,0.0,0.0,0.0,0,0,0,31.7,38.3,31.7,-0.0,6.6,0
2021-01-01,MI_SITE0003,Detroit Metro - Site 3,MI_LAB001,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Hospital,2022-03-01,0,,CrCys,3,525,89,0,614,8.32,26.22,36.3,4368.75,2333.2,0.0,6701.95,141501,21225,4004,17221,0,0.0,0.1887,0.047,0.6465,0.0598,2593,7428,5943,1556,648,311,77,0.1222,0.1222,388,0,5,0.0,1037,648,1.66,1.86,27.8,32.3,27.8,0.0867,0.0245,0.0867,0,0,0,3.9,6.1,3.9,-0.0622,2.2,0
2021-01-01,MI_SITE0004,Detroit Metro - Site 4,MI_LAB001,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Hospital,2022-03-01,0,,CrCys,3,536,103,0,639,9.3,24.83,33.37,4987.0,2557.89,0.0,7544.9,119857,17978,3277,14701,0,0.0,0.1823,0.0671,0.6535,0.0717,2911,6292,5033,1746,727,349,87,0.1619,0.1619,436,0,0,0.0,1164,727,1.47,1.65,12.6,14.6,12.6,0.9026,0.8356,0.9026,1,1,1,0.0,0.0,0.0,-0.0669,0.0,0
2021-01-01,MI_SITE0005,Detroit Metro - Site 5,MI_LAB002,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Hospital,2022-07-01,0,,Cys,1,525,93,0,618,8.57,24.55,32.29,4499.06,2283.57,0.0,6782.63,140866,21129,4878,16251,0,0.0,0.2309,0.0718,0.6598,0.0651,2658,7395,5916,1594,664,318,79,0.1258,0.1258,398,0,0,0.0,1063,664,1.6,1.8,53.9,62.5,53.9,0.0,0.0,0.0,0,0,0,17.0,21.3,17.0,-0.0,4.3,0
2021-01-01,MI_SITE0006,Detroit Metro - Site 6,MI_LAB001,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Hospital,2022-03-01,0,,CrCys,3,515,107,0,622,8.43,25.81,32.71,4342.6,2761.45,0.0,7104.05,127208,19081,4050,15031,0,0.0,0.2123,0.0724,0.6647,0.0754,2749,6678,5342,1649,687,329,82,0.1441,0.1441,412,0,3,0.0,1099,687,1.41,1.58,34.0,39.4,34.0,0.0147,0.0029,0.0147,0,0,0,7.0,9.7,7.0,-0.0118,2.7,0
2021-01-01,MI_SITE0007,Detroit Metro - Site 7,MI_LAB001,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Clinic,2022-03-01,0,,CrCys,3,512,106,0,618,9.41,27.52,31.56,4815.83,2916.99,0.0,7732.82,111783,16767,3294,13473,0,0.0,0.1965,0.0972,0.6178,0.044,2519,5868,4694,1511,629,302,75,0.1502,0.1502,377,0,0,0.0,1007,629,1.38,1.54,71.7,83.1,71.7,0.0,0.0,0.0,0,0,0,25.8,31.5,25.8,-0.0,5.7,0
2021-01-01,MI_SITE0008,Detroit Metro - Site 8,MI_LAB001,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Hospital,2022-03-01,0,,CrCys,3,557,97,0,654,8.43,26.29,33.71,4694.88,2550.56,0.0,7245.44,129605,19440,4034,15406,0,0.0,0.2075,0.0558,0.6149,0.0704,3021,6804,5443,1812,755,362,90,0.1554,0.1554,453,0,0,0.0,1208,755,1.34,1.5,70.6,81.8,70.6,0.0,0.0,0.0,0,0,0,25.3,30.9,25.3,-0.0,5.6,0
2021-01-01,MI_SITE0009,Detroit Metro - Site 9,MI_LAB002,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Clinic,2022-07-01,0,,Cys,1,476,91,0,567,9.13,24.25,34.08,4347.16,2206.99,0.0,6554.16,133408,20011,4603,15408,0,0.0,0.23,0.0598,0.6599,0.0544,2628,7003,5603,1576,657,315,78,0.1313,0.1313,394,0,0,0.0,1051,657,1.1,1.23,65.6,76.0,65.6,0.0,0.0,0.0,0,0,0,22.8,28.0,22.8,-0.0,5.2,0
2021-01-01,MI_SITE0010,Detroit Metro - Site 10,MI_LAB001,Detroit Metro,Michigan,"Wayne, Oakland, Macomb",Reference Lab,2022-03-01,0,,CrCys,3,499,93,0,592,8.65,19.9,31.16,4316.13,1850.43,0.0,6166.57,99941,14991,3161,11830,0,0.0,0.2109,0.0588,0.6718,0.0457,2227,5246,4197,1336,556,267,66,0.1486,0.1486,334,0,0,0.0,890,556,1.22,1.37,78.2,90.7,78.2,0.0,0.0,0.0,0,0,0,29.1,35.3,29.1,-0.0,6.2,0
